Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
ARI,NL,2012,734,688,81,0.33,0.42,0.26,0,NaN,NaN,162,0.32,0.41
ATL,NL,2012,700,600,94,0.32,0.39,0.25,1,4.00,5.00,162,0.31,0.38
BAL,AL,2012,712,705,93,0.31,0.42,0.25,1,5.00,4.00,162,0.32,0.40
BOS,AL,2012,734,806,69,0.32,0.41,0.26,0,NaN,NaN,162,0.33,0.43
CHC,NL,2012,613,759,61,0.30,0.38,0.24,0,NaN,NaN,162,0.34,0.42
CHW,AL,2012,748,676,85,0.32,0.42,0.26,0,NaN,NaN,162,0.32,0.41
CIN,NL,2012,669,588,97,0.32,0.41,0.25,1,2.00,4.00,162,0.30,0.39
CLE,AL,2012,667,845,68,0.32,0.38,0.25,0,NaN,NaN,162,0.34,0.43
COL,NL,2012,758,890,64,0.33,0.44,0.27,0,NaN,NaN,162,0.36,0.47
DET,AL,2012,726,670,88,0.34,0.42,0.27,1,6.00,2.00,162,0.31,0.40
HOU,NL,2012,583,794,55,0.30,0.37,0.24,0,NaN,NaN,162,0.34,0.43
KCR,AL,2012,676,746,72,0.32,0.40,0.27,0,NaN,NaN,162,0.34,0.42
LAA,AL,2012,767,699,89,0.33,0.43,0.27,0,NaN,NaN,162,0.31,0.40
LAD,NL,2012,637,597,86,0.32,0.37,0.25,0,NaN,NaN,162,0.31,0.36
MIA,NL,2012,609,724,69,0.31,0.38,0.24,0,NaN,NaN,162,0.33,0.40
MIL,NL,2012,776,733,83,0.33,0.44,0.26,0,NaN,NaN,162,0.33,0.41
MIN,AL,2012,701,832,66,0.33,0.39,0.26,0,NaN,NaN,162,0.33,0.44
NYM,NL,2012,650,709,74,0.32,0.39,0.25,0,NaN,NaN,162,0.32,0.40
NYY,AL,2012,804,668,95,0.34,0.45,0.27,1,3.00,3.00,162,0.31,0.42
OAK,AL,2012,713,614,94,0.31,0.40,0.24,1,4.00,4.00,162,0.31,0.38
PHI,NL,2012,684,680,81,0.32,0.40,0.26,0,NaN,NaN,162,0.31,0.41
PIT,NL,2012,651,674,79,0.30,0.40,0.24,0,NaN,NaN,162,0.31,0.39
